trial_number,value,lr,weight_decay,hidden_size,dropout,optimizer,gamma
0,1.3357587439136478,0.000181985399787,0.0002560259396521,79,0.4083827696787048,sgd,0.926858295419122
1,1.22077992299996,7.787904511355248e-05,0.0002056577118822,20,0.3313213058588553,adamw,0.920912845728108
2,0.8975931789045942,0.0034601528206491,0.0001341943738621,215,0.4722080880275574,adamw,0.9036123597455916
3,1.2749243951340314,0.0009549802425974,0.0013012446922374,179,0.220462666454441,sgd,0.9327913699899448
4,1.8652289595544589,0.0003061925106582,1.7107877744929515e-05,213,0.4774031214491304,adam,0.966540207415957
5,1.810092136826692,0.0002182289780419,0.0006284843174835,38,0.0955590930815943,adam,0.9570379919087404
6,0.8325957196991735,5.090366264943504e-05,1.546860512377505e-05,37,0.0389684078027149,adamw,0.9226845075495872
7,1.4052053087037986,0.0021198650262274,9.329526308950083e-05,67,0.2768401976137088,sgd,0.9072870906454163
8,2.445651132806652,0.00038521430599,0.0006067004654478,242,0.4811723509133175,adam,0.9228437102336172
9,1.0139289489813663,0.0021429144602014,0.003124142138004,118,0.1436445724710925,adam,0.905177559019616
10,0.0762001744255445,1.3248284423343665e-05,1.3003897605739336e-06,154,0.0157208759179587,adamw,0.9883677895575746
11,0.06904365636278,1.0727575526334365e-05,1.1773606909639178e-06,152,0.0034632968819463,adamw,0.9958168053286746
12,0.0438636375879169,1.5322101824879766e-05,1.1690413818068355e-06,146,0.0041540402443347,adamw,0.9974562297318116
13,0.0551885834531561,1.391233225669034e-05,1.1645378498520078e-06,149,0.0063198176188879,adamw,0.9978277845519636
14,0.011388293575182,1.0044085786921502e-05,1.0092002710853005e-06,129,0.0058497342651106,adamw,0.9989782848350957
15,0.0234555101162873,2.8802013394914616e-05,4.5280627206761154e-06,113,0.1012531329632906,adamw,0.9804791973680572
16,0.0332763246399972,3.261876485725201e-05,5.055569290301239e-06,110,0.1004371241671293,adamw,0.9791755671090556
17,0.0416628304317974,4.099930260116398e-05,5.0771314445663205e-06,108,0.1290218710060488,adamw,0.978208594409206
18,0.0341224007210967,3.923063636797424e-05,1.1376272784228188e-05,110,0.1291772220465333,adamw,0.979090246628692
19,0.1033998667857023,2.922972057733261e-05,5.620713235509276e-06,96,0.086788675396731,adamw,0.978290894646148
20,0.0126175515289927,9.94537405669952e-05,5.570085256316615e-06,122,0.1903239789912574,adamw,0.978894126281966
21,0.0134273689555722,0.0001077616032881,3.134888549322324e-06,123,0.2033428385106413,adamw,0.9649481039823292
22,0.0205643928728363,9.618154400761236e-05,5.581344346464253e-06,135,0.2242377178470724,adamw,0.964320979426394
23,0.0109830972964501,0.00010547175662,3.10708511015634e-06,129,0.2030021919173782,adamw,0.9657937470972396
24,0.0118923622519184,0.0001097762299003,2.7202311696191947e-06,133,0.1957549173881738,adamw,0.9641136980346154
25,0.0062131149910444,0.000108331323596,2.463447549593801e-06,130,0.1742612040482455,adamw,0.9665593659084089
26,0.1909834737581115,0.0001466142273302,2.346562573049476e-06,171,0.1777752403307063,adamw,0.9532684456872192
27,0.0310003157924531,0.0006588039429296,2.554111338680007e-06,134,0.265318690506981,adamw,0.9428618681791324
28,0.0104850173268277,0.0001073546355506,2.9115269270123166e-06,128,0.200943907491744,adamw,0.966466930239534
29,0.1582527499249821,7.53784928513109e-05,2.211838492170968e-06,89,0.1759989510221908,adamw,0.9687725778322092
30,0.1852987678091456,0.0001384314735748,3.6496661889018655e-05,166,0.3019296857569088,adamw,0.959965948794778
31,0.0068605540651108,5.98748040864644e-05,1.0644956682739035e-05,127,0.179236823340018,adamw,0.9713877438451058
32,1.0253302936351765,6.522113357174976e-05,1.0103001756633031e-05,135,0.2428165871027209,sgd,0.9469793970836974
33,0.0091189024559592,0.000214065768168,2.3802031031594404e-06,125,0.1880328374883342,adamw,0.9711179825688466
34,0.0055215875419685,0.0002431154294647,2.0609132798362697e-06,131,0.1643788142336653,adamw,0.9713091512192352
35,0.1131821120909386,0.0002532429452904,1.6953660786580551e-06,95,0.1612968142991885,adamw,0.9724060848357046
36,0.0915332353732857,0.0004283082600443,1.982191811485772e-06,129,0.4015364196054194,adamw,0.9720878844104112
37,0.0455272672239105,0.000173192636699,3.10636042493801e-06,145,0.2229229700162058,adamw,0.9886479714046426
38,0.0100948790365648,0.0001430254187293,3.013092097228928e-06,129,0.199343360371539,adamw,0.9600964641625488
39,0.0053134805558397,0.0001872106867922,1.044938181345395e-06,124,0.1599317541119594,adamw,0.9599122907431286
40,0.0103086012664697,0.0002147020618981,8.204761025579468e-06,120,0.1618252305944129,adamw,0.9579436257152448
41,0.0355899853425426,0.0002227917704097,8.694360169962406e-06,110,0.1556494309573921,adamw,0.9583703689859217
42,1.1337030426073929,0.0001819784379943,1.8016183308790936e-06,164,0.1638490789156773,sgd,0.9516959350261536
43,0.0132355926593133,0.0002921729980336,2.568068874503288e-05,125,0.208990716407262,adamw,0.9708381328927432
44,0.0269377619020699,0.0001393847601657,3.640282570759492e-06,142,0.1848996431452731,adamw,0.9602927422194706
45,0.074165715124788,6.275500384049024e-05,7.6109973066205395e-06,101,0.1348236286429402,adamw,0.955330213677198
46,0.2382264739578995,0.0005338176438168,1.90587274931474e-06,81,0.230347315411389,adamw,0.967772350445148
47,1.016770200857346,0.0080932684087269,3.526074339661133e-06,120,0.2011055723989846,adam,0.9617494379190016
48,0.0020354584477571,0.0002121764597947,1.0927109937771204e-06,127,0.0628023765593669,adamw,0.97299180496157
49,0.0031072436482788,0.0002017060914499,1.524491474843577e-06,124,0.0680967680627916,adamw,0.9715906307914832
0,1.093700274200368,0.0001681199010899,0.0062190828351439,133,0.3980535356783232,adam,0.9019551345484976
1,1.54155691962097,0.0016332726980496,0.0067309135903974,201,0.0078162737538595,sgd,0.9395634728261724
2,1.029382332836395,0.0060291310445109,5.089852906742559e-05,114,0.0072143803781783,sgd,0.9842330370395552
3,0.2888049490167743,5.251399712539777e-05,2.368200689213249e-05,76,0.2326794896988068,adamw,0.9221360890494668
4,1.5597201400373666,0.0008380814062745,0.0090467308406157,195,0.4290044065824379,adam,0.9001414770348983
5,1.3492790998211113,5.1655766692136135e-05,0.000408989438103,69,0.1283324237388137,adam,0.9312415567644364
6,2.322526757240676,0.0005727116342104,0.0002469999783336,243,0.098701142479747,sgd,0.9523249340921708
7,1.1137318797019071,0.0009671796099369,0.0002993092979389,137,0.4235879177161225,adam,0.9198929361611776
8,2.26581750865945,0.0010124970052709,2.6679468974868146e-05,16,0.2040247414916259,sgd,0.974088121649314
9,1.483133311637199,0.000674585584708,0.0009973698190071,62,0.3169542748014377,sgd,0.9710997084335382
10,0.0615815079010195,0.0068284381441733,1.2754727299275286e-06,109,0.2521135241770122,adamw,0.9983672590836806
11,0.2320643824517091,1.0322974033503058e-05,1.9966756078142155e-06,83,0.2652960420605091,adamw,0.997079252826537
12,0.1137141325941411,1.5561359982491057e-05,1.143612777140222e-06,103,0.3212520484496074,adamw,0.9972923901356504
13,0.1022391571271753,1.3997092344350232e-05,1.270644405367591e-06,105,0.3170327092384747,adamw,0.9970196904691828
14,0.0984087351658271,1.0267913946575693e-05,1.1906495867020194e-06,108,0.3370105537288574,adamw,0.99700623735111
15,0.0998693579519214,2.9869517642480537e-05,4.615846288461459e-06,147,0.3500335739564357,adamw,0.9850374406031834
16,0.3052359266341116,0.0099994750557574,6.329747694696373e-06,166,0.4998308418914336,adamw,0.9807568861451862
17,0.1277536157041771,3.450505085186577e-05,5.333703245183311e-06,152,0.3645820223432626,adamw,0.9611833949269122
18,0.0794281017311061,2.167895032762777e-05,3.5655651331099617e-06,109,0.3039477575963726,adamw,0.9913325994209848
19,0.0424655004225658,0.0001662039566688,5.494989859558122e-06,117,0.2701418801799369,adamw,0.9873313663292445
20,0.0483601319144815,0.0001259894222615,3.291213021427833e-06,116,0.2797750603952647,adamw,0.990212645717852
21,0.0300677161595975,0.0001503067657291,7.986920053731313e-06,123,0.2618136024985633,adamw,0.9868824159281512
22,0.1929207681103975,0.0001774582045434,1.315744185785601e-05,171,0.1866629789859945,adamw,0.9720635957773276
23,0.0340574230522416,0.0001303837302482,4.018027766953821e-06,121,0.2664966899237214,adamw,0.9875807947754488
24,0.028988906271878,0.0001366147998251,7.843589857284035e-06,127,0.2658533117922956,adamw,0.9868468520482864
25,0.0253204921289986,0.0001612019647779,1.1059904860625576e-05,127,0.255464518624047,adamw,0.9820565523590676
26,0.0128846332052931,0.0001001627396338,1.2346232609987897e-05,130,0.2079149380012278,adamw,0.9785438811325546
27,0.032732402992363,8.978342619317639e-05,1.1886266381163886e-05,144,0.1797612497333571,adamw,0.977316616765578
