trial_number,value,lr,weight_decay,hidden_size,dropout,optimizer,gamma
0,0.45982950925827026,8.21567776361904e-05,9.704454424098472e-05,242,0.23254268436426329,sgd,0.9540103961554346
1,0.26534324884414673,0.001774302598609286,4.0317068441337064e-05,114,0.09721879642813569,adamw,0.9941799776492765
2,0.5578669905662537,0.00015849135164292411,0.00016217838087216125,127,0.21784199543754018,sgd,0.9156029218375212
3,0.3574347496032715,0.0020316079221539616,0.00041736186192711534,117,0.2808648134991602,sgd,0.9286497485377002
4,0.43655964732170105,0.0010682436441469135,0.003103858379073446,176,0.10142883365493899,adam,0.914897769613291
5,0.398063600063324,0.001432731887587094,0.00040313662484637116,107,0.05882320212956754,adamw,0.989893432619107
6,0.49492543935775757,2.283058722704448e-05,1.3576912543947303e-05,181,0.05113211943086695,adamw,0.9977524902764835
7,0.3691031038761139,0.00722197518238435,5.073205448470954e-06,125,0.2157094459862301,adamw,0.9612826759796282
8,0.4427087604999542,0.0021920321785744044,0.00022893838687198465,77,0.35914289303994945,sgd,0.9030422078476033
9,0.36682140827178955,0.003213215113385189,0.0010540934664307706,171,0.4965677330877077,sgd,0.9335428290710596
10,0.282296746969223,0.0023335469043180863,5.2209405692365885e-06,116,0.01729149344819747,sgd,0.9886505856092255
11,0.21036335825920105,0.002759191276269047,2.624476218415719e-06,180,0.012826355153830325,sgd,0.9838748220728113
12,0.3811670243740082,0.0003722945263136979,2.138164538704073e-06,204,0.002046902722170455,adam,0.96185317109849
13,0.3551872670650482,0.0014057664984861275,5.435519621064479e-06,109,0.014146118946868897,sgd,0.9766651565377296
14,0.21013720333576202,0.002888967738867186,2.3870892073400514e-06,211,0.03389290579443129,sgd,0.9725520750197981
15,,0.006982879259724072,3.821069095689869e-06,220,0.14091233924858415,sgd,0.9963844079754135
16,0.3073923587799072,0.0008043531784174589,6.8397264567776095e-06,230,0.1675260408104019,sgd,0.9871944491765866
17,0.2982102632522583,0.008678115925893432,1.6297045822390009e-06,232,0.054126661189387304,adam,0.9931210727880054
18,,0.00879523306925039,4.424039499402789e-06,213,0.005128354570808688,sgd,0.9832902804582939
19,0.20730875432491302,0.0026781780050110066,1.104831018152647e-06,213,0.044760054631118575,sgd,0.9959880714010918
20,0.22587962448596954,0.0036658609363655944,1.1443018806332436e-06,232,0.0040468235797957944,sgd,0.9886735597048865
21,0.2052725851535797,0.0041860777094227565,3.0848209810059016e-05,246,0.0002189659358279028,sgd,0.9855157134554184
22,0.4745940864086151,0.007029151289422964,3.062525356821021e-05,244,0.031906170596067665,sgd,0.9605647492710525
23,0.248488649725914,0.004140224158892436,6.642340192162037e-05,242,0.11512508381860018,adamw,0.9888337542720075
24,0.19665078818798065,0.003419225672776931,5.346495948044309e-05,248,0.06867290767027959,sgd,0.9960656802308911
